address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
411 NW 14th St,Gainesville,FL,32603,999000,2184.0,0.0,NA,5.0,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/411-NW-14th-St-Gainesville-FL-32603/42736116_zpid/
2226 NW 7th Ln,Gainesville,FL,32603,549000,2336.0,4.0,3.0,19.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2226-NW-7th-Ln-Gainesville-FL-32603/42736555_zpid/
529 NW 19th St,Gainesville,FL,32603,377000,2249.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/529-NW-19th-St-Gainesville-FL-32603/42736528_zpid/
1704 NW 8th Ave,Gainesville,FL,32603,299000,2126.0,4.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1704-NW-8th-Ave-Gainesville-FL-32603/42736393_zpid/
1416 NW 5th Ave,Gainesville,FL,32603,279500,1580.0,4.0,3.0,33,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1416-NW-5th-Ave-Gainesville-FL-32603/2093707800_zpid/
729 NW 22nd St,Gainesville,FL,32603,1050000,4572.0,6.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/729-NW-22nd-St-Gainesville-FL-32603/42736566_zpid/
NW 4th Pl,Gainesville,FL,32603,NA,3763.0,3.0,1.0,138,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/138133339_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
507 NW 2nd St,Gainesville,FL,32601,29900,1267.0,4.0,1.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/507-NW-2nd-St-Gainesville-FL-32601/42735865_zpid/
1100 1102 Nw 45th Ave,Gainesville,FL,32601,124900,2886.0,7.0,3.0,3,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1100-1102-Nw-45th-Ave-Gainesville-FL-32601/2093344776_zpid/
835 SW 9th St APT 307,Gainesville,FL,32601,243500,1410.0,4.0,4.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/835-SW-9th-St-APT-307-Gainesville-FL-32601/70737521_zpid/
713 SW 3rd St,Gainesville,FL,32601,69500,1176.0,3.0,2.0,5,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/713-SW-3rd-St-Gainesville-FL-32601/42735256_zpid/
703 NW 9th Ave,Gainesville,FL,32601,149900,1125.0,4.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/703-NW-9th-Ave-Gainesville-FL-32601/42731161_zpid/
1220 SW 1st Ave APT 203,Gainesville,FL,32601,120000,430.0,1.0,1.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1220-SW-1st-Ave-APT-203-Gainesville-FL-32601/81782466_zpid/
1035 SW 9th St APT F21,Gainesville,FL,32601,74900,580.0,1.0,1.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1035-SW-9th-St-APT-F21-Gainesville-FL-32601/81784744_zpid/
612 & 626 Nw 10th Ave,Gainesville,FL,32601,595000,5400.0,0.0,NA,5,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/612-&-626-Nw-10th-Ave-Gainesville-FL-32601/2093382420_zpid/
215 NE Boulevard # 213,Gainesville,FL,32601,450000,4312.0,0.0,NA,5,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-NE-Boulevard-213-Gainesville-FL-32601/2093382424_zpid/
