address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
9 Washington Valley Rd,Warren,NJ,07059,459000,1482.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Washington-Valley-Rd-Warren-NJ-07059/39916321_zpid/
19 Nottingham Way,Warren,NJ,07059,958500,5403.0,6.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/19-Nottingham-Way-Warren-NJ-07059/39915674_zpid/
18 Nottingham Way,Warren,NJ,07059,1150000,10000.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Nottingham-Way-Warren-NJ-07059/39915709_zpid/
10 Stratford Ct,Warren,NJ,07059,1995000,5542.0,5.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-Stratford-Ct-Warren-NJ-07059/53729244_zpid/
21 Raspberry Trl,Warren,NJ,07059,1835000,5169.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-Raspberry-Trl-Warren-NJ-07059/63721641_zpid/
13 Rambling Brook Ln,Warren,NJ,07059,995000,6215.0,6.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-Rambling-Brook-Ln-Warren-NJ-07059/39917644_zpid/
55 Mount Horeb Rd,Warren,NJ,07059,459000,1783.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Mount-Horeb-Rd-Warren-NJ-07059/39915955_zpid/
15 King George Rd,Warren,NJ,07059,1015000,6920.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-King-George-Rd-Warren-NJ-07059/39917399_zpid/
6 Willow Woods Trl,Warren,NJ,07059,1695000,7119.0,7.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6-Willow-Woods-Trl-Warren-NJ-07059/39916919_zpid/
5 Nottingham Way,Warren,NJ,07059,998000,4980.0,6.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5-Nottingham-Way-Warren-NJ-07059/39915681_zpid/
8 Fox Hill Dr,Warren,NJ,07059,819000,2462.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-Fox-Hill-Dr-Warren-NJ-07059/39916535_zpid/
14 Kensington Ct,Warren,NJ,07059,1695000,5292.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Kensington-Ct-Warren-NJ-07059/39916911_zpid/
19 Stoningham Dr,Warren,NJ,07059,1788000,7400.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/19-Stoningham-Dr-Warren-NJ-07059/39915587_zpid/
2 Hilltop Ct,Warren,NJ,07059,1250000,4276.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Hilltop-Ct-Warren-NJ-07059/39919608_zpid/
7 Avon Rd,Warren,NJ,07059,1475000,4849.0,3.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Avon-Rd-Warren-NJ-07059/121881995_zpid/
15 Stoningham Dr,Warren,NJ,07059,1150000,5280.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Stoningham-Dr-Warren-NJ-07059/39915585_zpid/
26 Gregory Ln,Warren,NJ,07059,819000,3879.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Gregory-Ln-Warren-NJ-07059/39916892_zpid/
11 Briarwood Dr E,Warren,NJ,07059,979900,3290.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-Briarwood-Dr-E-Warren-NJ-07059/53729148_zpid/
112 King George Rd,Warren,NJ,07059,870000,3585.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-King-George-Rd-Warren-NJ-07059/39917735_zpid/
1A Tall Oaks Dr,Warren,NJ,07059,899000,3100.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1A-Tall-Oaks-Dr-Warren-NJ-07059/2093915065_zpid/
20 Round Top Rd,Warren,NJ,07059,699000,2331.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-Round-Top-Rd-Warren-NJ-07059/39916595_zpid/
9 Friar Tuck Ct,Warren,NJ,07059,1298000,5500.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Friar-Tuck-Ct-Warren-NJ-07059/53729139_zpid/
2 Beechwood Ct,Warren,NJ,07059,1299000,5028.0,5.0,5.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/2-Beechwood-Ct-Warren-NJ-07059/55638309_zpid/
32 Briarwood Dr E,Warren,NJ,07059,975000,4128.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-Briarwood-Dr-E-Warren-NJ-07059/53729180_zpid/
4 Casale Dr,Warren,NJ,07059,650000,2813.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Casale-Dr-Warren-NJ-07059/39915887_zpid/
89 Dock Watch Hollow Rd,Warren,NJ,07059,1549000,NA,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/89-Dock-Watch-Hollow-Rd-Warren-NJ-07059/2096488941_zpid/
91 Dock Watch Hollow Rd,Warren,NJ,07059,2169000,8700.0,6.0,7.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/91-Dock-Watch-Hollow-Rd-Warren-NJ-07059/39916169_zpid/
6 Quail Run,Warren,NJ,07059,1229000,4800.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6-Quail-Run-Warren-NJ-07059/39917682_zpid/
2 Normandy Ct,Warren,NJ,07059,880000,NA,4.0,2.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Normandy-Ct-Warren-NJ-07059/121882202_zpid/
173 Town Center Dr,Warren,NJ,07059,429900,2000.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/173-Town-Center-Dr-Warren-NJ-07059/39917922_zpid/
27 Scheurman Ter,Warren,NJ,07059,1199000,4210.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Scheurman-Ter-Warren-NJ-07059/39883749_zpid/
3 Timber Ridge Dr,Warren,NJ,07059,1049000,3534.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3-Timber-Ridge-Dr-Warren-NJ-07059/39915606_zpid/
