address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
8121 SW 13th Rd,Gainesville,FL,32607,165000,1388.0,4.0,2.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8121-SW-13th-Rd-Gainesville-FL-32607/42718660_zpid/
560 NW 39th Rd,Gainesville,FL,32607,795000,NA,NA,NA,5,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/560-NW-39th-Rd-Gainesville-FL-32607/42716650_zpid/
7531 SW 19th Pl,Gainesville,FL,32607,196000,2004.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7531-SW-19th-Pl-Gainesville-FL-32607/42719687_zpid/
420 NW 27th Ter,Gainesville,FL,32607,215000,1298.0,3.0,3.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/420-NW-27th-Ter-Gainesville-FL-32607/42715806_zpid/
5614 SW 8th Pl,Gainesville,FL,32607,129900,1370.0,3.0,3.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5614-SW-8th-Pl-Gainesville-FL-32607/58883092_zpid/
4042 SW 24th Ave,Gainesville,FL,32607,399900,NA,NA,NA,5,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4042-SW-24th-Ave-Gainesville-FL-32607/42719938_zpid/
118 NW 36th St,Gainesville,FL,32607,179900,1806.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/118-NW-36th-St-Gainesville-FL-32607/42716461_zpid/
512 SW 117th St,Gainesville,FL,32607,419900,2709.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/512-SW-117th-St-Gainesville-FL-32607/42697966_zpid/
131 SW 77th Ter,Gainesville,FL,32607,142000,1190.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/131-SW-77th-Ter-Gainesville-FL-32607/42717963_zpid/
8518 SW 14th Ln,Gainesville,FL,32607,440000,2725.0,4.0,4.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8518-SW-14th-Ln-Gainesville-FL-32607/66690557_zpid/
506 NW 34th St,Gainesville,FL,32607,194500,1288.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/506-NW-34th-St-Gainesville-FL-32607/42716357_zpid/
1707 SW 85th Dr,Gainesville,FL,32607,408950,2952.0,4.0,3.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1707-SW-85th-Dr-Gainesville-FL-32607/42718710_zpid/
1550 SW 66th Dr,Gainesville,FL,32607,279900,2233.0,4.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1550-SW-66th-Dr-Gainesville-FL-32607/82045272_zpid/
3029 NW 2nd Ave,Gainesville,FL,32607,239900,1965.0,3.0,3.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3029-NW-2nd-Ave-Gainesville-FL-32607/42716035_zpid/
120 NW 80th Blvd,Gainesville,FL,32607,265000,1766.0,3.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/120-NW-80th-Blvd-Gainesville-FL-32607/42717802_zpid/
427 NW 98th St,Gainesville,FL,32607,90000,1687.0,3.0,1.0,11,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/427-NW-98th-St-Gainesville-FL-32607/42718088_zpid/
501 SW 75th St APT H8,Gainesville,FL,32607,99000,1384.0,3.0,3.0,26,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-SW-75th-St-APT-H8-Gainesville-FL-32607/70736095_zpid/
501 SW 75th St,Gainesville,FL,32607,102000,850.0,1.0,2.0,12,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-SW-75th-St-Gainesville-FL-32607/2106210409_zpid/
20 NW 122nd St,Gainesville,FL,32607,99900,NA,NA,NA,23,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-NW-122nd-St-Gainesville-FL-32607/42698182_zpid/
7127 SW 4th Rd UNIT 227,Gainesville,FL,32607,119900,972.0,2.0,2.0,20,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7127-SW-4th-Rd-UNIT-227-Gainesville-FL-32607/2093571491_zpid/
7317 SW 21st Pl,Gainesville,FL,32607,118000,1108.0,3.0,2.0,24,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7317-SW-21st-Pl-Gainesville-FL-32607/42719241_zpid/
531 NW 52nd Ter,Gainesville,FL,32607,173000,1476.0,3.0,2.0,19,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/531-NW-52nd-Ter-Gainesville-FL-32607/42717113_zpid/
532 NW 39th Rd UNIT 205,Gainesville,FL,32607,142800,1578.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/532-NW-39th-Rd-UNIT-205-Gainesville-FL-32607/81789224_zpid/
928 SW 98th St,Gainesville,FL,32607,549000,4000.0,4.0,3.0,22,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/928-SW-98th-St-Gainesville-FL-32607/42718311_zpid/
13 NW 26th St,Gainesville,FL,32607,229500,1736.0,4.0,2.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-NW-26th-St-Gainesville-FL-32607/42715772_zpid/
424 NW 101st Ter,Gainesville,FL,32607,179000,1564.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/424-NW-101st-Ter-Gainesville-FL-32607/42718055_zpid/
8421 SW 23rd Pl,Gainesville,FL,32607,484800,3700.0,5.0,4.0,22,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/8421-SW-23rd-Pl-Gainesville-FL-32607/42718552_zpid/
9818 SW 1st Pl,Gainesville,FL,32607,334900,1954.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9818-SW-1st-Pl-Gainesville-FL-32607/42718191_zpid/
10806 SW 18th Ln,Gainesville,FL,32607,555000,3366.0,4.0,4.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10806-SW-18th-Ln-Gainesville-FL-32607/54477857_zpid/
112 NW 28th Ter,Gainesville,FL,32607,330000,2293.0,3.0,2.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-NW-28th-Ter-Gainesville-FL-32607/58882623_zpid/
2901 SW 1st Ave,Gainesville,FL,32607,234000,1800.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2901-SW-1st-Ave-Gainesville-FL-32607/42716092_zpid/
701 SW 75th Ter,Gainesville,FL,32607,29900,1306.0,1.0,1.0,31,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/701-SW-75th-Ter-Gainesville-FL-32607/42717922_zpid/
1730 SW 67th Ter,Gainesville,FL,32607,58000,1000.0,3.0,2.0,66,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1730-SW-67th-Ter-Gainesville-FL-32607/42719443_zpid/
31 SW 84th St,Gainesville,FL,32607,176000,2379.0,3.0,2.0,788,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/31-SW-84th-St-Gainesville-FL-32607/42717681_zpid/
613 SW 75th St,Gainesville,FL,32607,29900,942.0,1.0,1.0,31,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/613-SW-75th-St-Gainesville-FL-32607/2109998419_zpid/
711 SW 75th Ter,Gainesville,FL,32607,29900,1792.0,1.0,1.0,31,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/711-SW-75th-Ter-Gainesville-FL-32607/42717935_zpid/
2222 SW 39th Dr,Gainesville,FL,32607,76900,900.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2222-SW-39th-Dr-Gainesville-FL-32607/42719821_zpid/
1726 SW 77th Ter,Gainesville,FL,32607,134000,1772.0,3.0,2.0,1335,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1726-SW-77th-Ter-Gainesville-FL-32607/42719630_zpid/
