address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
684 Undercliff Ave,Edgewater,NJ,07020,790400,2400.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/684-Undercliff-Ave-Edgewater-NJ-07020/37881853_zpid/
530 Undercliff Ave,Edgewater,NJ,07020,599500,NA,3.0,1.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/530-Undercliff-Ave-Edgewater-NJ-07020/37882590_zpid/
3 Somerset Ln # IT4T70,Edgewater,NJ,07020,718800,953.0,1.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094213397_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3 Somerset Ln # 92TA04,Edgewater,NJ,07020,1298800,1483.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094213385_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3 Somerset Ln # CUOLP2,Edgewater,NJ,07020,1738800,1768.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094213388_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3510 City Pl,Edgewater,NJ,07020,699000,NA,2.0,2.0,3,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3510-City-Pl-Edgewater-NJ-07020/82652189_zpid/
1203 River Rd APT 17A,Edgewater,NJ,07020,236888,NA,0.0,1.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1203-River-Rd-APT-17A-Edgewater-NJ-07020/37882071_zpid/
3 Somerset Ln # HTE1YV,Edgewater,NJ,07020,1388800,1713.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094213390_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
38 Garden Pl APT 143,Edgewater,NJ,07020,300000,NA,2.0,2.0,6,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/38-Garden-Pl-APT-143-Edgewater-NJ-07020/37882928_zpid/
501 Hancock Ct,Edgewater,NJ,07020,525000,NA,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-Hancock-Ct-Edgewater-NJ-07020/2093393197_zpid/
3 Somerset Ln # ELXXZ6,Edgewater,NJ,07020,1798800,1964.0,3.0,1.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094213408_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
