address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
524 Waterford Dr # 5524,Edison,NJ,08817,257000,NA,2.0,2.0,8,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/524-Waterford-Dr-5524-Edison-NJ-08817/2093397754_zpid/
524 Waterford Dr,Edison,NJ,08817,257000,NA,2.0,2.0,9,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/524-Waterford-Dr-Edison-NJ-08817/39063043_zpid/
26 Paul St,Edison,NJ,08817,224999,NA,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Paul-St-Edison-NJ-08817/39067222_zpid/
33 Heathcote Ave,Edison,NJ,08817,315000,NA,3.0,1.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33-Heathcote-Ave-Edison-NJ-08817/39066439_zpid/
29 Knollwood Rd W,Edison,NJ,08817,249900,NA,3.0,1.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/29-Knollwood-Rd-W-Edison-NJ-08817/39081165_zpid/
27 Fairfax Rd,Edison,NJ,08817,335000,1396.0,3.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Fairfax-Rd-Edison-NJ-08817/39082563_zpid/
83 Foyer St,Edison,NJ,08817,255000,NA,2.0,1.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/83-Foyer-St-Edison-NJ-08817/39068589_zpid/
82 Brookhill Ave,Edison,NJ,08817,295000,1200.0,3.0,3.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/82-Brookhill-Ave-Edison-NJ-08817/39063769_zpid/
25 Nancy Cir,Edison,NJ,08817,330000,NA,3.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Nancy-Cir-Edison-NJ-08817/39068716_zpid/
68 Suydam Ave,Edison,NJ,08817,307999,NA,3.0,1.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/68-Suydam-Ave-Edison-NJ-08817/39064181_zpid/
37 Market St,Edison,NJ,08817,349000,1486.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/37-Market-St-Edison-NJ-08817/39067394_zpid/
1203 Woodhaven Dr # 1203,Edison,NJ,08817,242000,1104.0,2.0,2.0,29,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1203-Woodhaven-Dr-1203-Edison-NJ-08817/2093653010_zpid/
4 Sine Rd,Edison,NJ,08817,192900,1000.0,3.0,1.0,18,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/4-Sine-Rd-Edison-NJ-08817/39068279_zpid/
8 Dayton Rd,Edison,NJ,08817,515000,2350.0,5.0,4.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-Dayton-Rd-Edison-NJ-08817/39082143_zpid/
22 Kearny Ave,Edison,NJ,08817,259700,966.0,3.0,2.0,30,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/22-Kearny-Ave-Edison-NJ-08817/55544342_zpid/
32 Windsor Rd,Edison,NJ,08817,169500,NA,3.0,1.0,24,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-Windsor-Rd-Edison-NJ-08817/39082219_zpid/
5805 Hana Rd,Edison,NJ,08817,300000,1672.0,3.0,3.0,25,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/5805-Hana-Rd-Edison-NJ-08817/39062023_zpid/
5 Columbus Ave,Edison,NJ,08817,180000,NA,3.0,1.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5-Columbus-Ave-Edison-NJ-08817/39068911_zpid/
110 Oakland Ave,Edison,NJ,08817,439900,NA,4.0,3.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Oakland-Ave-Edison-NJ-08817/39066981_zpid/
4 Caldwell Rd,Edison,NJ,08817,176000,1026.0,NA,NA,26,Auction,http://www.zillow.com/homes/for_sale//homedetails/4-Caldwell-Rd-Edison-NJ-08817/39081635_zpid/
153 College Dr # 153,Edison,NJ,08817,175000,1188.0,3.0,2.0,27,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/153-College-Dr-153-Edison-NJ-08817/2093642966_zpid/
7 Dill Ct,Edison,NJ,08817,220000,1000.0,3.0,1.0,12,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/7-Dill-Ct-Edison-NJ-08817/39081232_zpid/
89 Silver Lake Ave,Edison,NJ,08817,181000,1024.0,NA,NA,26,Auction,http://www.zillow.com/homes/for_sale//homedetails/89-Silver-Lake-Ave-Edison-NJ-08817/39069057_zpid/
203 Central Ave,Edison,NJ,08817,425000,1800.0,3.0,2.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/203-Central-Ave-Edison-NJ-08817/39064289_zpid/
22 Westminster Pl,Edison,NJ,08817,248000,1396.0,3.0,NA,29,Auction,http://www.zillow.com/homes/for_sale//homedetails/22-Westminster-Pl-Edison-NJ-08817/39068739_zpid/
23 Ovington Ave,Edison,NJ,08817,316000,900.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Ovington-Ave-Edison-NJ-08817/39065640_zpid/
17 Ridge Rd,Edison,NJ,08817,328600,1892.0,3.0,3.0,30,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/17-Ridge-Rd-Edison-NJ-08817/39067867_zpid/
22 Magee Rd,Edison,NJ,08817,358000,1428.0,3.0,3.0,29,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-Magee-Rd-Edison-NJ-08817/39081097_zpid/
19 Karen Pl,Edison,NJ,08817,459000,1547.0,3.0,2.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/19-Karen-Pl-Edison-NJ-08817/39062832_zpid/
38 Markham Rd,Edison,NJ,08817,539900,900.0,5.0,3.0,25,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/38-Markham-Rd-Edison-NJ-08817/39081577_zpid/
62 Preston St,Edison,NJ,08817,629900,3400.0,5.0,5.0,19,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/62-Preston-St-Edison-NJ-08817/39066049_zpid/
131 Vineyard Rd,Edison,NJ,08817,279000,NA,4.0,1.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/131-Vineyard-Rd-Edison-NJ-08817/39066284_zpid/
154 Winthrop Rd,Edison,NJ,08817,299000,1008.0,3.0,1.0,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Winthrop-Rd-Edison-NJ-08817/39082622_zpid/
45 Sharon Ave,Edison,NJ,08817,329000,1369.0,3.0,2.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-Sharon-Ave-Edison-NJ-08817/39067663_zpid/
66 Orange St,Edison,NJ,08817,369900,1610.0,3.0,3.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/66-Orange-St-Edison-NJ-08817/55544182_zpid/
153 College Dr,Edison,NJ,08817,175000,1188.0,3.0,2.0,27,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/153-College-Dr-Edison-NJ-08817/72246540_zpid/
7 Comstock Rd,Edison,NJ,08817,289900,NA,3.0,1.0,19,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Comstock-Rd-Edison-NJ-08817/39082597_zpid/
20 Brookfall Rd,Edison,NJ,08817,579000,2750.0,4.0,4.0,20,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/20-Brookfall-Rd-Edison-NJ-08817/39063609_zpid/
14 Sine Rd,Edison,NJ,08817,296000,NA,3.0,1.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Sine-Rd-Edison-NJ-08817/39068274_zpid/
40 Gurley Rd,Edison,NJ,08817,275000,1234.0,3.0,1.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/40-Gurley-Rd-Edison-NJ-08817/39067714_zpid/
44 Agatha Dr,Edison,NJ,08817,529000,2660.0,4.0,4.0,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-Agatha-Dr-Edison-NJ-08817/39062465_zpid/
156 Washington Ave,Edison,NJ,08817,399000,1166.0,5.0,3.0,13,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/156-Washington-Ave-Edison-NJ-08817/39063672_zpid/
14 Kenmore Rd,Edison,NJ,08817,299000,NA,4.0,2.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Kenmore-Rd-Edison-NJ-08817/39082192_zpid/
534 Waterford Dr,Edison,NJ,08817,245000,1034.0,2.0,2.0,24,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/534-Waterford-Dr-Edison-NJ-08817/39063051_zpid/
20 Magnolia St,Edison,NJ,08817,274900,NA,3.0,NA,30,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/20-Magnolia-St-Edison-NJ-08817/39066218_zpid/
158 Player Ave,Edison,NJ,08817,449000,NA,4.0,NA,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/158-Player-Ave-Edison-NJ-08817/39068573_zpid/
23 Matson Rd,Edison,NJ,08817,287900,NA,3.0,2.0,30,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Matson-Rd-Edison-NJ-08817/39082552_zpid/
30 Simpson Ave,Edison,NJ,08817,425000,2356.0,3.0,3.0,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Simpson-Ave-Edison-NJ-08817/39067442_zpid/
44 Lahiere Ave,Edison,NJ,08817,382000,NA,5.0,2.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-Lahiere-Ave-Edison-NJ-08817/39064593_zpid/
24 Meeker Ave,Edison,NJ,08817,319000,NA,4.0,1.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/24-Meeker-Ave-Edison-NJ-08817/39068811_zpid/
31 Runyon Ave,Edison,NJ,08817,295000,1134.0,2.0,1.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/31-Runyon-Ave-Edison-NJ-08817/39064556_zpid/
42 Meadow Rd,Edison,NJ,08817,137800,1327.0,2.0,2.0,58,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/42-Meadow-Rd-Edison-NJ-08817/39069210_zpid/
22 York Dr APT 3B,Edison,NJ,08817,58000,NA,2.0,1.0,94,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-York-Dr-APT-3B-Edison-NJ-08817/2094469882_zpid/
6 Saint Matthews Dr,Edison,NJ,08817,289900,1951.0,5.0,4.0,33,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/6-Saint-Matthews-Dr-Edison-NJ-08817/39066037_zpid/
66 Fox Rd APT 4A,Edison,NJ,08817,39900,NA,1.0,1.0,71,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/66-Fox-Rd-APT-4A-Edison-NJ-08817/2109601565_zpid/
14 Comstock Rd,Edison,NJ,08817,99000,1000.0,3.0,1.0,60,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Comstock-Rd-Edison-NJ-08817/39082609_zpid/
14 York Dr APT 1B,Edison,NJ,08817,42000,NA,1.0,1.0,102,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-York-Dr-APT-1B-Edison-NJ-08817/2104339457_zpid/
670 Old Post Rd,Edison,NJ,08817,339000,1770.0,4.0,2.0,134,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/670-Old-Post-Rd-Edison-NJ-08817/39068178_zpid/
318 College Dr,Edison,NJ,08817,128500,896.0,2.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/318-College-Dr-Edison-NJ-08817/72241423_zpid/
621 Waterford Dr,Edison,NJ,08817,188000,1034.0,NA,NA,40,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/621-Waterford-Dr-Edison-NJ-08817/39063063_zpid/
60 Morgan Dr,Edison,NJ,08817,489000,NA,4.0,3.0,75,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-Morgan-Dr-Edison-NJ-08817/39065133_zpid/
1421 Waterford Dr,Edison,NJ,08817,191000,1034.0,NA,NA,73,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1421-Waterford-Dr-Edison-NJ-08817/39063240_zpid/
702 Woodhaven Dr,Edison,NJ,08817,174000,1104.0,2.0,2.0,290,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/702-Woodhaven-Dr-Edison-NJ-08817/39082460_zpid/
23 Fayette St,Edison,NJ,08817,170000,NA,4.0,2.0,34,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/23-Fayette-St-Edison-NJ-08817/39067022_zpid/
5 York Dr APT 4A,Edison,NJ,08817,58000,NA,2.0,1.0,239,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/5-York-Dr-APT-4A-Edison-NJ-08817/2100749645_zpid/
9 Bartha Ave,Edison,NJ,08817,289000,NA,3.0,3.0,150,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Bartha-Ave-Edison-NJ-08817/39079863_zpid/
24 Raleigh Rd,Edison,NJ,08817,284900,1348.0,3.0,1.0,55,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/24-Raleigh-Rd-Edison-NJ-08817/39082619_zpid/
16 Eastlick Rd,Edison,NJ,08817,257000,1692.0,3.0,2.0,126,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/16-Eastlick-Rd-Edison-NJ-08817/39082753_zpid/
22 Knollwood Rd E,Edison,NJ,08817,235000,1500.0,4.0,2.0,578,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/22-Knollwood-Rd-E-Edison-NJ-08817/39081194_zpid/
217 College Dr # 217,Edison,NJ,08817,115900,NA,2.0,1.0,76,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/217-College-Dr-217-Edison-NJ-08817/2094240897_zpid/
177 College Dr # 177,Edison,NJ,08817,99900,NA,1.0,1.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/177-College-Dr-177-Edison-NJ-08817/2093863482_zpid/
249 College Dr # 249,Edison,NJ,08817,129900,NA,2.0,1.0,53,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/249-College-Dr-249-Edison-NJ-08817/2093946822_zpid/
136 Hillcrest Ave,Edison,NJ,08817,237000,1596.0,2.0,2.0,412,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/136-Hillcrest-Ave-Edison-NJ-08817/39064452_zpid/
12 College Dr # 12,Edison,NJ,08817,109900,NA,2.0,1.0,151,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-College-Dr-12-Edison-NJ-08817/2095117908_zpid/
2180 Woodbridge Ave,Edison,NJ,08817,245000,1289.0,3.0,2.5,1113,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2180-Woodbridge-Ave-Edison-NJ-08817/61834343_zpid/
445 College Dr,Edison,NJ,08817,87000,896.0,NA,NA,462,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/445-College-Dr-Edison-NJ-08817/72242454_zpid/
22 York Dr APT 1B,Edison,NJ,08817,105900,NA,1.0,1.0,109,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-York-Dr-APT-1B-Edison-NJ-08817/2094641679_zpid/
204 College Dr # 204,Edison,NJ,08817,120000,NA,2.0,1.0,78,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/204-College-Dr-204-Edison-NJ-08817/2094257114_zpid/
318 Poll Pl,Edison,NJ,08817,449000,2527.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/318-Poll-Pl-Edison-NJ-08817/39063880_zpid/
6 Kenlen Dr,Edison,NJ,08817,221000,1142.0,NA,1.0,504,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6-Kenlen-Dr-Edison-NJ-08817/39068302_zpid/
14 Campbell Ave,Edison,NJ,08817,268000,NA,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Campbell-Ave-Edison-NJ-08817/39063819_zpid/
38 Sine Rd,Edison,NJ,08817,195000,NA,2.0,1.0,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/38-Sine-Rd-Edison-NJ-08817/39068257_zpid/
407 College Dr,Edison,NJ,08817,88000,896.0,2.0,1.0,525,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/407-College-Dr-Edison-NJ-08817/72243183_zpid/
6 Travers Ave,Edison,NJ,08817,213000,1249.0,NA,1.0,565,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6-Travers-Ave-Edison-NJ-08817/39068605_zpid/
9 Willow Ave,Edison,NJ,08817,389000,1980.0,4.0,2.0,73,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Willow-Ave-Edison-NJ-08817/39066291_zpid/
215 Penn Ave,Edison,NJ,08817,255000,NA,3.0,2.0,83,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-Penn-Ave-Edison-NJ-08817/61834240_zpid/
8 Heathcote Ave,Edison,NJ,08817,238000,1128.0,3.0,2.0,887,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/8-Heathcote-Ave-Edison-NJ-08817/39066309_zpid/
161 Orange St,Edison,NJ,08817,209000,972.0,3.0,1.0,45,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/161-Orange-St-Edison-NJ-08817/39064935_zpid/
18 Raleigh Rd,Edison,NJ,08817,212000,1192.0,NA,1.0,46,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/18-Raleigh-Rd-Edison-NJ-08817/39082560_zpid/
41 Walnut St,Edison,NJ,08817,349000,1400.0,3.0,2.0,89,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/41-Walnut-St-Edison-NJ-08817/39079338_zpid/
19 Elmwood Ter,Edison,NJ,08817,313000,1892.0,4.0,2.0,446,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/19-Elmwood-Ter-Edison-NJ-08817/39064698_zpid/
8 Travers Ave,EDISON,NJ,08817,197000,NA,NA,NA,565,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/8-Travers-Ave-Edison-NJ-08817/39068604_zpid/
21 Deerwood Ave,Edison,NJ,08817,363999,1684.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-Deerwood-Ave-Edison-NJ-08817/61834220_zpid/
9 Lenox St,Edison,NJ,08817,509888,3100.0,5.0,3.0,67,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Lenox-St-Edison-NJ-08817/39064334_zpid/
123 Vineyard Rd,Edison,NJ,08817,217000,870.0,3.0,2.0,510,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/123-Vineyard-Rd-Edison-NJ-08817/39066320_zpid/
20 Hillcrest Ave,Edison,NJ,08817,188000,750.0,3.0,1.5,462,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/20-Hillcrest-Ave-Edison-NJ-08817/39065823_zpid/
310 Suttons Ln,Edison,NJ,08817,201000,860.0,NA,1.0,74,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/310-Suttons-Ln-Edison-NJ-08817/39063785_zpid/
64 Winthrop Rd,Edison,NJ,08817,170000,1008.0,2.0,1.0,112,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/64-Winthrop-Rd-Edison-NJ-08817/39082223_zpid/
56 Violet Pl,Edison,NJ,08817,186000,920.0,NA,NA,245,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/56-Violet-Pl-Edison-NJ-08817/39067514_zpid/
31 Raleigh Rd,Edison,NJ,08817,369900,2028.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/31-Raleigh-Rd-Edison-NJ-08817/64902374_zpid/
1 Stevens Rd,Edison,NJ,08817,299999,1024.0,3.0,1.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Stevens-Rd-Edison-NJ-08817/39067731_zpid/
103 Walton St,Edison,NJ,08817,219000,1232.0,3.0,2.0,203,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/103-Walton-St-Edison-NJ-08817/39069005_zpid/
97 Ashley Rd,Edison,NJ,08817,199000,1700.0,3.0,2.0,320,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/97-Ashley-Rd-Edison-NJ-08817/39081754_zpid/
(Undisclosed Address),Edison,NJ,08817,49000,NA,1.0,1.0,32,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-Edison-NJ-08817/2093689380_zpid/
9 Pelham Ave,Edison,NJ,08817,225000,1108.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Pelham-Ave-Edison-NJ-08817/64880178_zpid/
85 Winthrop Rd,Edison,NJ,08817,212000,1056.0,3.0,2.0,164,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/85-Winthrop-Rd-Edison-NJ-08817/39082306_zpid/
(Undisclosed Address),Edison,NJ,08817,219900,NA,3.0,1.0,56,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-Edison-NJ-08817/2093982389_zpid/
11 Bonnie Brook Ave,Edison,NJ,08817,313000,2278.0,5.0,2.0,643,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/11-Bonnie-Brook-Ave-Edison-NJ-08817/39069277_zpid/
1 Parkerson Rd,Edison,NJ,08817,445000,2200.0,5.0,2.5,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Parkerson-Rd-Edison-NJ-08817/39081906_zpid/
343 Plainfield Ave,Edison,NJ,08817,249000,1692.0,3.0,2.0,88,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/343-Plainfield-Ave-Edison-NJ-08817/39064437_zpid/
632 Waterford Dr # 632,Edison,NJ,08817,229000,NA,2.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/632-Waterford-Dr-632-Edison-NJ-08817/2093732496_zpid/
22 York Dr APT 4B,Edison,NJ,08817,60000,NA,2.0,1.0,33,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-York-Dr-APT-4B-Edison-NJ-08817/2093706132_zpid/
40 Runyon Ave,Edison,NJ,08817,227000,1328.0,3.0,2.0,472,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/40-Runyon-Ave-Edison-NJ-08817/39079299_zpid/
28 Dalton Pl,Edison,NJ,08817,206000,814.0,NA,NA,76,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/28-Dalton-Pl-Edison-NJ-08817/39064610_zpid/
2 Latonia St,Edison,NJ,08817,209900,783.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Latonia-St-Edison-NJ-08817/39065086_zpid/
7 Brookfall Rd,Edison,NJ,08817,400000,2575.0,5.0,3.0,245,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/7-Brookfall-Rd-Edison-NJ-08817/39063635_zpid/
64 Lahiere Ave,Edison,NJ,08817,400000,1920.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/64-Lahiere-Ave-Edison-NJ-08817/39064635_zpid/
2 Vale St,Edison,NJ,08817,239000,NA,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Vale-St-Edison-NJ-08817/39069386_zpid/
444 Old Post Rd,Edison,NJ,08817,359900,NA,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/444-Old-Post-Rd-Edison-NJ-08817/39081155_zpid/
17 Parkerson Rd,Edison,NJ,08817,509899,NA,5.0,3.0,157,New Construction,http://www.zillow.com/homes/for_sale//homedetails/17-Parkerson-Rd-Edison-NJ-08817/39081914_zpid/
113 Wallace St # 113,Edison,NJ,08817,189900,NA,2.0,1.0,115,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/113-Wallace-St-113-Edison-NJ-08817/2094710512_zpid/
42 Crescent Rd,Edison,NJ,08817,214400,1080.0,3.0,1.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/42-Crescent-Rd-Edison-NJ-08817/39081086_zpid/
6 Mercury Rd,Edison,NJ,08817,223000,1512.0,5.0,2.0,52,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6-Mercury-Rd-Edison-NJ-08817/39081477_zpid/
18 Richmond Rd,Edison,NJ,08817,539000,2700.0,5.0,3.0,296,New Construction,http://www.zillow.com/homes/for_sale//homedetails/18-Richmond-Rd-Edison-NJ-08817/39082032_zpid/
