address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
90 Montadale Dr,Princeton,NJ,08540,1995000,9362.0,6.0,9.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/90-Montadale-Dr-Princeton-NJ-08540/39009797_zpid/
2 Acken Ln,Princeton,NJ,08540,369900,1489.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Acken-Ln-Princeton-NJ-08540/39867786_zpid/
3 Hemlock Ct,Princeton,NJ,08540,814000,4102.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3-Hemlock-Ct-Princeton-NJ-08540/39006103_zpid/
44 Scribner Ct,Princeton,NJ,08540,1249000,3536.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-Scribner-Ct-Princeton-NJ-08540/39012803_zpid/
61 Cleveland Ln,Princeton,NJ,08540,1450000,3205.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/61-Cleveland-Ln-Princeton-NJ-08540/39007378_zpid/
7 Allison Way,Princeton,NJ,08540,628888,3349.0,4.0,4.0,2,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Allison-Way-Princeton-NJ-08540/55637902_zpid/
1303 Canal,Franklin,NJ,08540,710000,3207.0,3.0,3.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1303-Canal-Franklin-NJ-08540/2093348873_zpid/
20 Taft Ct,Princeton,NJ,08540,385000,NA,3.0,3.0,3,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-Taft-Ct-Princeton-NJ-08540/39904059_zpid/
276 Gallup Rd,Princeton,NJ,08540,1255000,3112.0,5.0,5.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/276-Gallup-Rd-Princeton-NJ-08540/39013237_zpid/
139 Sayre Dr,Princeton,NJ,08540,444444,1355.0,2.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/139-Sayre-Dr-Princeton-NJ-08540/39151783_zpid/
